table 2 row 100 col 0: ['UC-092'] | UC-092
table 2 row 101 col 0: ['UC-093'] | UC-093
table 2 row 102 col 0: ['UC-094'] | UC-094
table 2 row 103 col 0: ['UC-095'] | UC-095
table 2 row 104 col 0: ['UC-096'] | UC-096
table 2 row 105 col 0: ['UC-097'] | UC-097
table 8 row 5 col 4: ['UC-092'] | UC-092
table 8 row 6 col 4: ['UC-093'] | UC-093
table 8 row 7 col 4: ['UC-094'] | UC-094
table 8 row 8 col 4: ['UC-093'] | UC-093
table 9 row 47 col 5: ['UC-092'] | UC-092
table 9 row 48 col 5: ['UC-093'] | UC-093
table 9 row 49 col 5: ['UC-093'] | UC-093
table 9 row 50 col 5: ['UC-094'] | UC-094
table 9 row 52 col 5: ['UC-095', 'UC-097'] | UC-095, UC-097, UC-115
table 11 row 4 col 5: ['UC-093'] | UC-093
